PAIS,ANO,DECILE_LABEL,DECILE_ORDER,PROMEDIO_REGISTROS,CANTIDAD_EDITORIALES
ARGENTINA,2012,Top 10%,1,72.17,6
ARGENTINA,2012,10% - 20%,2,9.5,6
ARGENTINA,2012,20% - 30%,3,6.0,6
ARGENTINA,2012,30% - 40%,4,3.67,6
ARGENTINA,2012,40% - 50%,5,3.0,6
ARGENTINA,2012,50% - 60%,6,2.17,6
ARGENTINA,2012,60% - 70%,7,1.0,5
ARGENTINA,2012,70% - 80%,8,1.0,5
ARGENTINA,2012,80% - 90%,9,1.0,5
ARGENTINA,2012,90% - 100%,10,1.0,5
ARGENTINA,2013,Top 10%,1,39.17,6
ARGENTINA,2013,10% - 20%,2,12.83,6
ARGENTINA,2013,20% - 30%,3,7.33,6
ARGENTINA,2013,30% - 40%,4,4.17,6
ARGENTINA,2013,40% - 50%,5,3.0,6
ARGENTINA,2013,50% - 60%,6,2.0,5
ARGENTINA,2013,60% - 70%,7,1.0,5
ARGENTINA,2013,70% - 80%,8,1.0,5
ARGENTINA,2013,80% - 90%,9,1.0,5
ARGENTINA,2013,90% - 100%,10,1.0,5
ARGENTINA,2014,Top 10%,1,61.33,6
ARGENTINA,2014,10% - 20%,2,15.0,6
ARGENTINA,2014,20% - 30%,3,4.67,6
ARGENTINA,2014,30% - 40%,4,2.83,6
ARGENTINA,2014,40% - 50%,5,2.0,6
ARGENTINA,2014,50% - 60%,6,2.0,6
ARGENTINA,2014,60% - 70%,7,1.0,6
ARGENTINA,2014,70% - 80%,8,1.0,6
ARGENTINA,2014,80% - 90%,9,1.0,6
ARGENTINA,2014,90% - 100%,10,1.0,6
ARGENTINA,2015,Top 10%,1,56.11,9
ARGENTINA,2015,10% - 20%,2,8.56,9
ARGENTINA,2015,20% - 30%,3,4.56,9
ARGENTINA,2015,30% - 40%,4,2.78,9
ARGENTINA,2015,40% - 50%,5,2.0,9
ARGENTINA,2015,50% - 60%,6,1.25,8
ARGENTINA,2015,60% - 70%,7,1.0,8
ARGENTINA,2015,70% - 80%,8,1.0,8
ARGENTINA,2015,80% - 90%,9,1.0,8
ARGENTINA,2015,90% - 100%,10,1.0,8
ARGENTINA,2016,Top 10%,1,43.78,9
ARGENTINA,2016,10% - 20%,2,7.22,9
ARGENTINA,2016,20% - 30%,3,4.22,9
ARGENTINA,2016,30% - 40%,4,2.44,9
ARGENTINA,2016,40% - 50%,5,2.0,8
ARGENTINA,2016,50% - 60%,6,1.62,8
ARGENTINA,2016,60% - 70%,7,1.0,8
ARGENTINA,2016,70% - 80%,8,1.0,8
ARGENTINA,2016,80% - 90%,9,1.0,8
ARGENTINA,2016,90% - 100%,10,1.0,8
ARGENTINA,2017,Top 10%,1,46.0,8
ARGENTINA,2017,10% - 20%,2,8.12,8
ARGENTINA,2017,20% - 30%,3,4.88,8
ARGENTINA,2017,30% - 40%,4,3.0,8
ARGENTINA,2017,40% - 50%,5,2.12,8
ARGENTINA,2017,50% - 60%,6,1.5,8
ARGENTINA,2017,60% - 70%,7,1.0,8
ARGENTINA,2017,70% - 80%,8,1.0,7
ARGENTINA,2017,80% - 90%,9,1.0,7
ARGENTINA,2017,90% - 100%,10,1.0,7
ARGENTINA,2018,Top 10%,1,2.0,1
ARGENTINA,2018,10% - 20%,2,2.0,1
ARGENTINA,2018,20% - 30%,3,1.0,1
ARGENTINA,2018,30% - 40%,4,1.0,1
ARGENTINA,2018,40% - 50%,5,1.0,1
ARGENTINA,2018,50% - 60%,6,1.0,1
ARGENTINA,2018,60% - 70%,7,1.0,1
ARGENTINA,2018,70% - 80%,8,0.0,0
ARGENTINA,2018,80% - 90%,9,0.0,0
ARGENTINA,2018,90% - 100%,10,0.0,0
ARGENTINA,2019,Top 10%,1,46.4,10
ARGENTINA,2019,10% - 20%,2,7.1,10
ARGENTINA,2019,20% - 30%,3,4.8,10
ARGENTINA,2019,30% - 40%,4,2.7,10
ARGENTINA,2019,40% - 50%,5,2.0,9
ARGENTINA,2019,50% - 60%,6,1.33,9
ARGENTINA,2019,60% - 70%,7,1.0,9
ARGENTINA,2019,70% - 80%,8,1.0,9
ARGENTINA,2019,80% - 90%,9,1.0,9
ARGENTINA,2019,90% - 100%,10,1.0,9
ARGENTINA,2020,Top 10%,1,30.33,6
ARGENTINA,2020,10% - 20%,2,7.33,6
ARGENTINA,2020,20% - 30%,3,4.5,6
ARGENTINA,2020,30% - 40%,4,3.5,6
ARGENTINA,2020,40% - 50%,5,2.5,6
ARGENTINA,2020,50% - 60%,6,1.67,6
ARGENTINA,2020,60% - 70%,7,1.0,5
ARGENTINA,2020,70% - 80%,8,1.0,5
ARGENTINA,2020,80% - 90%,9,1.0,5
ARGENTINA,2020,90% - 100%,10,1.0,5
ARGENTINA,TODOS,Top 10%,1,94.24,34
ARGENTINA,TODOS,10% - 20%,2,14.73,33
ARGENTINA,TODOS,20% - 30%,3,7.67,33
ARGENTINA,TODOS,30% - 40%,4,4.7,33
ARGENTINA,TODOS,40% - 50%,5,3.27,33
ARGENTINA,TODOS,50% - 60%,6,2.0,33
ARGENTINA,TODOS,60% - 70%,7,1.64,33
ARGENTINA,TODOS,70% - 80%,8,1.0,33
ARGENTINA,TODOS,80% - 90%,9,1.0,33
ARGENTINA,TODOS,90% - 100%,10,1.0,33
BOLIVIA,2010,Top 10%,1,15.0,1
BOLIVIA,2010,10% - 20%,2,2.0,1
BOLIVIA,2010,20% - 30%,3,1.0,1
BOLIVIA,2010,30% - 40%,4,0.0,0
BOLIVIA,2010,40% - 50%,5,0.0,0
BOLIVIA,2010,50% - 60%,6,0.0,0
BOLIVIA,2010,60% - 70%,7,0.0,0
BOLIVIA,2010,70% - 80%,8,0.0,0
BOLIVIA,2010,80% - 90%,9,0.0,0
BOLIVIA,2010,90% - 100%,10,0.0,0
BOLIVIA,2011,Top 10%,1,1.0,1
BOLIVIA,2011,10% - 20%,2,1.0,1
BOLIVIA,2011,20% - 30%,3,0.0,0
BOLIVIA,2011,30% - 40%,4,0.0,0
BOLIVIA,2011,40% - 50%,5,0.0,0
BOLIVIA,2011,50% - 60%,6,0.0,0
BOLIVIA,2011,60% - 70%,7,0.0,0
BOLIVIA,2011,70% - 80%,8,0.0,0
BOLIVIA,2011,80% - 90%,9,0.0,0
BOLIVIA,2011,90% - 100%,10,0.0,0
BOLIVIA,2012,Top 10%,1,1.0,1
BOLIVIA,2012,10% - 20%,2,0.0,0
BOLIVIA,2012,20% - 30%,3,0.0,0
BOLIVIA,2012,30% - 40%,4,0.0,0
BOLIVIA,2012,40% - 50%,5,0.0,0
BOLIVIA,2012,50% - 60%,6,0.0,0
BOLIVIA,2012,60% - 70%,7,0.0,0
BOLIVIA,2012,70% - 80%,8,0.0,0
BOLIVIA,2012,80% - 90%,9,0.0,0
BOLIVIA,2012,90% - 100%,10,0.0,0
BOLIVIA,2015,Top 10%,1,1.0,1
BOLIVIA,2015,10% - 20%,2,0.0,0
BOLIVIA,2015,20% - 30%,3,0.0,0
BOLIVIA,2015,30% - 40%,4,0.0,0
BOLIVIA,2015,40% - 50%,5,0.0,0
BOLIVIA,2015,50% - 60%,6,0.0,0
BOLIVIA,2015,60% - 70%,7,0.0,0
BOLIVIA,2015,70% - 80%,8,0.0,0
BOLIVIA,2015,80% - 90%,9,0.0,0
BOLIVIA,2015,90% - 100%,10,0.0,0
BOLIVIA,2016,Top 10%,1,2.0,1
BOLIVIA,2016,10% - 20%,2,1.0,1
BOLIVIA,2016,20% - 30%,3,0.0,0
BOLIVIA,2016,30% - 40%,4,0.0,0
BOLIVIA,2016,40% - 50%,5,0.0,0
BOLIVIA,2016,50% - 60%,6,0.0,0
BOLIVIA,2016,60% - 70%,7,0.0,0
BOLIVIA,2016,70% - 80%,8,0.0,0
BOLIVIA,2016,80% - 90%,9,0.0,0
BOLIVIA,2016,90% - 100%,10,0.0,0
BOLIVIA,2017,Top 10%,1,2.0,1
BOLIVIA,2017,10% - 20%,2,1.0,1
BOLIVIA,2017,20% - 30%,3,1.0,1
BOLIVIA,2017,30% - 40%,4,1.0,1
BOLIVIA,2017,40% - 50%,5,0.0,0
BOLIVIA,2017,50% - 60%,6,0.0,0
BOLIVIA,2017,60% - 70%,7,0.0,0
BOLIVIA,2017,70% - 80%,8,0.0,0
BOLIVIA,2017,80% - 90%,9,0.0,0
BOLIVIA,2017,90% - 100%,10,0.0,0
BOLIVIA,2018,Top 10%,1,1.0,1
BOLIVIA,2018,10% - 20%,2,1.0,1
BOLIVIA,2018,20% - 30%,3,1.0,1
BOLIVIA,2018,30% - 40%,4,0.0,0
BOLIVIA,2018,40% - 50%,5,0.0,0
BOLIVIA,2018,50% - 60%,6,0.0,0
BOLIVIA,2018,60% - 70%,7,0.0,0
BOLIVIA,2018,70% - 80%,8,0.0,0
BOLIVIA,2018,80% - 90%,9,0.0,0
BOLIVIA,2018,90% - 100%,10,0.0,0
BOLIVIA,2019,Top 10%,1,1.0,1
BOLIVIA,2019,10% - 20%,2,0.0,0
BOLIVIA,2019,20% - 30%,3,0.0,0
BOLIVIA,2019,30% - 40%,4,0.0,0
BOLIVIA,2019,40% - 50%,5,0.0,0
BOLIVIA,2019,50% - 60%,6,0.0,0
BOLIVIA,2019,60% - 70%,7,0.0,0
BOLIVIA,2019,70% - 80%,8,0.0,0
BOLIVIA,2019,80% - 90%,9,0.0,0
BOLIVIA,2019,90% - 100%,10,0.0,0
BOLIVIA,2020,Top 10%,1,1.0,1
BOLIVIA,2020,10% - 20%,2,1.0,1
BOLIVIA,2020,20% - 30%,3,0.0,0
BOLIVIA,2020,30% - 40%,4,0.0,0
BOLIVIA,2020,40% - 50%,5,0.0,0
BOLIVIA,2020,50% - 60%,6,0.0,0
BOLIVIA,2020,60% - 70%,7,0.0,0
BOLIVIA,2020,70% - 80%,8,0.0,0
BOLIVIA,2020,80% - 90%,9,0.0,0
BOLIVIA,2020,90% - 100%,10,0.0,0
BOLIVIA,2021,Top 10%,1,2.0,1
BOLIVIA,2021,10% - 20%,2,1.0,1
BOLIVIA,2021,20% - 30%,3,0.0,0
BOLIVIA,2021,30% - 40%,4,0.0,0
BOLIVIA,2021,40% - 50%,5,0.0,0
BOLIVIA,2021,50% - 60%,6,0.0,0
BOLIVIA,2021,60% - 70%,7,0.0,0
BOLIVIA,2021,70% - 80%,8,0.0,0
BOLIVIA,2021,80% - 90%,9,0.0,0
BOLIVIA,2021,90% - 100%,10,0.0,0
BOLIVIA,2022,Top 10%,1,1.0,1
BOLIVIA,2022,10% - 20%,2,1.0,1
BOLIVIA,2022,20% - 30%,3,0.0,0
BOLIVIA,2022,30% - 40%,4,0.0,0
BOLIVIA,2022,40% - 50%,5,0.0,0
BOLIVIA,2022,50% - 60%,6,0.0,0
BOLIVIA,2022,60% - 70%,7,0.0,0
BOLIVIA,2022,70% - 80%,8,0.0,0
BOLIVIA,2022,80% - 90%,9,0.0,0
BOLIVIA,2022,90% - 100%,10,0.0,0
BOLIVIA,2023,Top 10%,1,1.0,1
BOLIVIA,2023,10% - 20%,2,1.0,1
BOLIVIA,2023,20% - 30%,3,0.0,0
BOLIVIA,2023,30% - 40%,4,0.0,0
BOLIVIA,2023,40% - 50%,5,0.0,0
BOLIVIA,2023,50% - 60%,6,0.0,0
BOLIVIA,2023,60% - 70%,7,0.0,0
BOLIVIA,2023,70% - 80%,8,0.0,0
BOLIVIA,2023,80% - 90%,9,0.0,0
BOLIVIA,2023,90% - 100%,10,0.0,0
BOLIVIA,2024,Top 10%,1,1.0,1
BOLIVIA,2024,10% - 20%,2,1.0,1
BOLIVIA,2024,20% - 30%,3,0.0,0
BOLIVIA,2024,30% - 40%,4,0.0,0
BOLIVIA,2024,40% - 50%,5,0.0,0
BOLIVIA,2024,50% - 60%,6,0.0,0
BOLIVIA,2024,60% - 70%,7,0.0,0
BOLIVIA,2024,70% - 80%,8,0.0,0
BOLIVIA,2024,80% - 90%,9,0.0,0
BOLIVIA,2024,90% - 100%,10,0.0,0
BOLIVIA,TODOS,Top 10%,1,11.0,2
BOLIVIA,TODOS,10% - 20%,2,5.0,2
BOLIVIA,TODOS,20% - 30%,3,2.0,2
BOLIVIA,TODOS,30% - 40%,4,1.0,2
BOLIVIA,TODOS,40% - 50%,5,1.0,2
BOLIVIA,TODOS,50% - 60%,6,1.0,1
BOLIVIA,TODOS,60% - 70%,7,1.0,1
BOLIVIA,TODOS,70% - 80%,8,1.0,1
BOLIVIA,TODOS,80% - 90%,9,1.0,1
BOLIVIA,TODOS,90% - 100%,10,1.0,1
BRASIL,2010,Top 10%,1,90.4,10
BRASIL,2010,10% - 20%,2,20.7,10
BRASIL,2010,20% - 30%,3,8.5,10
BRASIL,2010,30% - 40%,4,5.4,10
BRASIL,2010,40% - 50%,5,3.6,10
BRASIL,2010,50% - 60%,6,2.0,10
BRASIL,2010,60% - 70%,7,1.1,10
BRASIL,2010,70% - 80%,8,1.0,10
BRASIL,2010,80% - 90%,9,1.0,10
BRASIL,2010,90% - 100%,10,1.0,10
BRASIL,2011,Top 10%,1,68.06,33
BRASIL,2011,10% - 20%,2,11.18,33
BRASIL,2011,20% - 30%,3,5.06,33
BRASIL,2011,30% - 40%,4,3.15,33
BRASIL,2011,40% - 50%,5,2.0,33
BRASIL,2011,50% - 60%,6,1.85,33
BRASIL,2011,60% - 70%,7,1.0,33
BRASIL,2011,70% - 80%,8,1.0,32
BRASIL,2011,80% - 90%,9,1.0,32
BRASIL,2011,90% - 100%,10,1.0,32
BRASIL,2012,Top 10%,1,126.67,12
BRASIL,2012,10% - 20%,2,24.75,12
BRASIL,2012,20% - 30%,3,11.17,12
BRASIL,2012,30% - 40%,4,7.09,11
BRASIL,2012,40% - 50%,5,5.64,11
BRASIL,2012,50% - 60%,6,3.36,11
BRASIL,2012,60% - 70%,7,2.0,11
BRASIL,2012,70% - 80%,8,1.0,11
BRASIL,2012,80% - 90%,9,1.0,11
BRASIL,2012,90% - 100%,10,1.0,11
BRASIL,2013,Top 10%,1,143.05,21
BRASIL,2013,10% - 20%,2,34.1,21
BRASIL,2013,20% - 30%,3,15.19,21
BRASIL,2013,30% - 40%,4,9.1,21
BRASIL,2013,40% - 50%,5,4.9,21
BRASIL,2013,50% - 60%,6,3.24,21
BRASIL,2013,60% - 70%,7,2.19,21
BRASIL,2013,70% - 80%,8,1.33,21
BRASIL,2013,80% - 90%,9,1.0,21
BRASIL,2013,90% - 100%,10,1.0,21
BRASIL,2014,Top 10%,1,67.14,80
BRASIL,2014,10% - 20%,2,12.12,80
BRASIL,2014,20% - 30%,3,6.76,80
BRASIL,2014,30% - 40%,4,4.49,79
BRASIL,2014,40% - 50%,5,3.01,79
BRASIL,2014,50% - 60%,6,2.0,79
BRASIL,2014,60% - 70%,7,1.61,79
BRASIL,2014,70% - 80%,8,1.0,79
BRASIL,2014,80% - 90%,9,1.0,79
BRASIL,2014,90% - 100%,10,1.0,79
BRASIL,2015,Top 10%,1,48.87,83
BRASIL,2015,10% - 20%,2,11.64,83
BRASIL,2015,20% - 30%,3,6.66,83
BRASIL,2015,30% - 40%,4,4.46,83
BRASIL,2015,40% - 50%,5,3.23,83
BRASIL,2015,50% - 60%,6,2.22,83
BRASIL,2015,60% - 70%,7,1.75,83
BRASIL,2015,70% - 80%,8,1.0,82
BRASIL,2015,80% - 90%,9,1.0,82
BRASIL,2015,90% - 100%,10,1.0,82
BRASIL,2016,Top 10%,1,74.64,22
BRASIL,2016,10% - 20%,2,16.0,22
BRASIL,2016,20% - 30%,3,7.09,22
BRASIL,2016,30% - 40%,4,3.95,22
BRASIL,2016,40% - 50%,5,3.0,22
BRASIL,2016,50% - 60%,6,2.0,22
BRASIL,2016,60% - 70%,7,1.05,22
BRASIL,2016,70% - 80%,8,1.0,22
BRASIL,2016,80% - 90%,9,1.0,21
BRASIL,2016,90% - 100%,10,1.0,21
BRASIL,2017,Top 10%,1,92.54,24
BRASIL,2017,10% - 20%,2,16.0,24
BRASIL,2017,20% - 30%,3,7.46,24
BRASIL,2017,30% - 40%,4,4.09,23
BRASIL,2017,40% - 50%,5,2.65,23
BRASIL,2017,50% - 60%,6,2.0,23
BRASIL,2017,60% - 70%,7,1.17,23
BRASIL,2017,70% - 80%,8,1.0,23
BRASIL,2017,80% - 90%,9,1.0,23
BRASIL,2017,90% - 100%,10,1.0,23
BRASIL,2018,Top 10%,1,62.71,28
BRASIL,2018,10% - 20%,2,11.75,28
BRASIL,2018,20% - 30%,3,4.89,28
BRASIL,2018,30% - 40%,4,3.39,28
BRASIL,2018,40% - 50%,5,2.14,28
BRASIL,2018,50% - 60%,6,2.0,28
BRASIL,2018,60% - 70%,7,1.22,27
BRASIL,2018,70% - 80%,8,1.0,27
BRASIL,2018,80% - 90%,9,1.0,27
BRASIL,2018,90% - 100%,10,1.0,27
BRASIL,2019,Top 10%,1,76.88,26
BRASIL,2019,10% - 20%,2,13.96,26
BRASIL,2019,20% - 30%,3,6.38,26
BRASIL,2019,30% - 40%,4,4.35,26
BRASIL,2019,40% - 50%,5,3.0,26
BRASIL,2019,50% - 60%,6,2.0,26
BRASIL,2019,60% - 70%,7,1.62,26
BRASIL,2019,70% - 80%,8,1.0,26
BRASIL,2019,80% - 90%,9,1.0,25
BRASIL,2019,90% - 100%,10,1.0,25
BRASIL,2020,Top 10%,1,45.27,11
BRASIL,2020,10% - 20%,2,16.91,11
BRASIL,2020,20% - 30%,3,6.7,10
BRASIL,2020,30% - 40%,4,3.4,10
BRASIL,2020,40% - 50%,5,2.0,10
BRASIL,2020,50% - 60%,6,1.7,10
BRASIL,2020,60% - 70%,7,1.0,10
BRASIL,2020,70% - 80%,8,1.0,10
BRASIL,2020,80% - 90%,9,1.0,10
BRASIL,2020,90% - 100%,10,1.0,10
BRASIL,2021,Top 10%,1,89.81,16
BRASIL,2021,10% - 20%,2,20.56,16
BRASIL,2021,20% - 30%,3,8.06,16
BRASIL,2021,30% - 40%,4,3.81,16
BRASIL,2021,40% - 50%,5,2.19,16
BRASIL,2021,50% - 60%,6,2.0,16
BRASIL,2021,60% - 70%,7,1.19,16
BRASIL,2021,70% - 80%,8,1.0,16
BRASIL,2021,80% - 90%,9,1.0,15
BRASIL,2021,90% - 100%,10,1.0,15
BRASIL,2022,Top 10%,1,221.38,13
BRASIL,2022,10% - 20%,2,21.85,13
BRASIL,2022,20% - 30%,3,10.54,13
BRASIL,2022,30% - 40%,4,5.85,13
BRASIL,2022,40% - 50%,5,3.46,13
BRASIL,2022,50% - 60%,6,2.5,12
BRASIL,2022,60% - 70%,7,2.0,12
BRASIL,2022,70% - 80%,8,1.17,12
BRASIL,2022,80% - 90%,9,1.0,12
BRASIL,2022,90% - 100%,10,1.0,12
BRASIL,2023,Top 10%,1,108.19,16
BRASIL,2023,10% - 20%,2,24.06,16
BRASIL,2023,20% - 30%,3,11.75,16
BRASIL,2023,30% - 40%,4,6.31,16
BRASIL,2023,40% - 50%,5,3.75,16
BRASIL,2023,50% - 60%,6,2.31,16
BRASIL,2023,60% - 70%,7,1.56,16
BRASIL,2023,70% - 80%,8,1.0,15
BRASIL,2023,80% - 90%,9,1.0,15
BRASIL,2023,90% - 100%,10,1.0,15
BRASIL,2024,Top 10%,1,64.56,16
BRASIL,2024,10% - 20%,2,21.07,15
BRASIL,2024,20% - 30%,3,11.0,15
BRASIL,2024,30% - 40%,4,5.6,15
BRASIL,2024,40% - 50%,5,3.47,15
BRASIL,2024,50% - 60%,6,2.0,15
BRASIL,2024,60% - 70%,7,1.67,15
BRASIL,2024,70% - 80%,8,1.0,15
BRASIL,2024,80% - 90%,9,1.0,15
BRASIL,2024,90% - 100%,10,1.0,15
BRASIL,TODOS,Top 10%,1,197.08,193
BRASIL,TODOS,10% - 20%,2,22.44,193
BRASIL,TODOS,20% - 30%,3,10.43,193
BRASIL,TODOS,30% - 40%,4,6.02,193
BRASIL,TODOS,40% - 50%,5,3.76,192
BRASIL,TODOS,50% - 60%,6,2.51,192
BRASIL,TODOS,60% - 70%,7,2.0,192
BRASIL,TODOS,70% - 80%,8,1.02,192
BRASIL,TODOS,80% - 90%,9,1.0,192
BRASIL,TODOS,90% - 100%,10,1.0,192
CHILE,2010,Top 10%,1,31.33,3
CHILE,2010,10% - 20%,2,4.33,3
CHILE,2010,20% - 30%,3,3.67,3
CHILE,2010,30% - 40%,4,2.0,3
CHILE,2010,40% - 50%,5,1.5,2
CHILE,2010,50% - 60%,6,1.0,2
CHILE,2010,60% - 70%,7,1.0,2
CHILE,2010,70% - 80%,8,1.0,2
CHILE,2010,80% - 90%,9,1.0,2
CHILE,2010,90% - 100%,10,1.0,2
CHILE,2011,Top 10%,1,16.67,3
CHILE,2011,10% - 20%,2,4.67,3
CHILE,2011,20% - 30%,3,2.33,3
CHILE,2011,30% - 40%,4,2.0,3
CHILE,2011,40% - 50%,5,1.33,3
CHILE,2011,50% - 60%,6,1.0,3
CHILE,2011,60% - 70%,7,1.0,2
CHILE,2011,70% - 80%,8,1.0,2
CHILE,2011,80% - 90%,9,1.0,2
CHILE,2011,90% - 100%,10,1.0,2
CHILE,2012,Top 10%,1,12.0,3
CHILE,2012,10% - 20%,2,3.67,3
CHILE,2012,20% - 30%,3,2.0,3
CHILE,2012,30% - 40%,4,1.33,3
CHILE,2012,40% - 50%,5,1.0,3
CHILE,2012,50% - 60%,6,1.0,2
CHILE,2012,60% - 70%,7,1.0,2
CHILE,2012,70% - 80%,8,1.0,2
CHILE,2012,80% - 90%,9,1.0,2
CHILE,2012,90% - 100%,10,1.0,2
CHILE,2013,Top 10%,1,11.0,4
CHILE,2013,10% - 20%,2,5.25,4
CHILE,2013,20% - 30%,3,3.0,3
CHILE,2013,30% - 40%,4,2.0,3
CHILE,2013,40% - 50%,5,1.33,3
CHILE,2013,50% - 60%,6,1.0,3
CHILE,2013,60% - 70%,7,1.0,3
CHILE,2013,70% - 80%,8,1.0,3
CHILE,2013,80% - 90%,9,1.0,3
CHILE,2013,90% - 100%,10,1.0,3
CHILE,2014,Top 10%,1,6.67,3
CHILE,2014,10% - 20%,2,4.67,3
CHILE,2014,20% - 30%,3,3.33,3
CHILE,2014,30% - 40%,4,3.0,3
CHILE,2014,40% - 50%,5,2.0,3
CHILE,2014,50% - 60%,6,1.0,3
CHILE,2014,60% - 70%,7,1.0,3
CHILE,2014,70% - 80%,8,1.0,3
CHILE,2014,80% - 90%,9,1.0,3
CHILE,2014,90% - 100%,10,1.0,2
CHILE,2015,Top 10%,1,12.67,3
CHILE,2015,10% - 20%,2,6.33,3
CHILE,2015,20% - 30%,3,5.0,3
CHILE,2015,30% - 40%,4,2.33,3
CHILE,2015,40% - 50%,5,2.0,3
CHILE,2015,50% - 60%,6,2.0,3
CHILE,2015,60% - 70%,7,1.0,3
CHILE,2015,70% - 80%,8,1.0,3
CHILE,2015,80% - 90%,9,1.0,3
CHILE,2015,90% - 100%,10,1.0,2
CHILE,2016,Top 10%,1,9.6,5
CHILE,2016,10% - 20%,2,5.8,5
CHILE,2016,20% - 30%,3,2.6,5
CHILE,2016,30% - 40%,4,2.0,5
CHILE,2016,40% - 50%,5,1.2,5
CHILE,2016,50% - 60%,6,1.0,5
CHILE,2016,60% - 70%,7,1.0,4
CHILE,2016,70% - 80%,8,1.0,4
CHILE,2016,80% - 90%,9,1.0,4
CHILE,2016,90% - 100%,10,1.0,4
CHILE,2017,Top 10%,1,20.25,4
CHILE,2017,10% - 20%,2,8.25,4
CHILE,2017,20% - 30%,3,4.0,4
CHILE,2017,30% - 40%,4,2.75,4
CHILE,2017,40% - 50%,5,2.0,4
CHILE,2017,50% - 60%,6,1.75,4
CHILE,2017,60% - 70%,7,1.0,4
